dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,10.174666666666669,10.165,0.13263206387527898,9.94,10.59,0.9030242005369972,1.8946006954469041,0.9465567008362041,0.1366287198450797,False,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,16.627998249766666,16.6298251815,0.2607309626914065,15.850776959,17.266563002,-0.5234942556492229,2.3148951292303526,0.9563122229033583,0.24862022768200506,False,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.9117480123333335,0.9092514925,0.007553336505489368,0.901135002,0.935600825,1.1184036459540088,1.7714215031038858,0.9029536015108068,0.00992625813916501,True,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,energy_joules,30,15.159666666666663,15.14,0.21252964634307517,14.8,15.65,0.5043747016321789,0.01040805116257193,0.9702993486106098,0.5473985415935043,False,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,avg_power_watts,30,16.827555831333335,16.8570050035,0.19159689386451909,16.384970012,17.151545158,-0.17671371730544022,-0.4469571173704687,0.970622333532775,0.5563416336348954,False,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.8475414639000001,0.845047822,0.006042127467422838,0.839759515,0.862375701,0.8666218620175432,-0.07291347040086071,0.9139334658066831,0.018723533333248058,True,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,energy_joules,30,14.261666666666665,14.27,0.15913740177493832,13.9,14.61,-0.1417582794327439,-0.16567481630185554,0.9907249425250562,0.9942246251853118,False,
original,script_5,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,avg_power_watts,30,33.22653140563333,37.2689103405,8.450613235543486,17.620179557,39.700026851,-1.2278442932457232,-0.3761238483759177,0.6601078654673949,4.307860141875663e-07,True,
original,script_5,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,elapsed_seconds,30,3.115271052633334,2.7244318635,0.7236152345685887,2.666822373,4.600407149,1.3649933798070861,-0.014632569329529055,0.608809128597154,9.36447337285837e-08,True,
original,script_5,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,energy_joules,30,97.661,101.845,9.854911378387024,79.37,106.54,-1.1136396514148634,-0.4945580667520515,0.7400301726158034,6.309773719578056e-06,True,
original,script_6,original,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,avg_power_watts,30,15.884592850799999,15.858321345,0.15443797866835146,15.600096058,16.184041452,0.29425421647260547,-0.7833320503017234,0.9669474503764435,0.45937490239471696,False,
original,script_6,original,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,elapsed_seconds,30,12.182617280799999,12.174177088,0.057350579606967794,12.117086293,12.43152482,3.0733508148866333,12.246555245087439,0.6943357301323809,1.2918684955546675e-06,True,
original,script_6,original,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,energy_joules,30,193.51733333333328,193.115,2.22524842988657,190.11,199.41,0.8033000881991841,0.4908010032216703,0.9508773746785871,0.17845203252194522,False,
original,script_7,original,base,python,statistical_modelling_analysis,01_linear_regression_inference,avg_power_watts,30,16.611134751399998,16.546834465499998,0.1888904615498306,16.350563695,16.984071064,0.6484442879263395,-0.8329521158897073,0.9067809977022102,0.012354445223301523,True,
original,script_7,original,base,python,statistical_modelling_analysis,01_linear_regression_inference,elapsed_seconds,30,0.7242042895333333,0.7233002425,0.003982629163639282,0.71888618,0.732405259,0.6246039916502533,-0.6627647029992296,0.9256854402366262,0.037760483844789194,True,
original,script_7,original,base,python,statistical_modelling_analysis,01_linear_regression_inference,energy_joules,30,12.029666666666667,12.0,0.1355571729066256,11.82,12.29,0.5455762593619599,-0.8323082653163123,0.9253741912483553,0.0370553422185177,True,
original,script_8,original,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,avg_power_watts,30,16.580972812166667,16.5601725545,0.19892397059008382,16.176906376,16.943689263,-0.0895665369096709,-0.7600714837632512,0.9744370040242204,0.6661462214610461,False,
original,script_8,original,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,elapsed_seconds,30,0.7562265260666666,0.7555736799999999,0.0032607693348812093,0.75017189,0.764738026,0.5981172734314014,0.290094092284229,0.9708518028624293,0.5627379748371176,False,
original,script_8,original,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,energy_joules,30,12.538666666666666,12.52,0.13286584712909982,12.3,12.77,-0.027819595820360258,-0.9745046360681875,0.965773711343141,0.4308690019560359,False,
original,script_9,original,base,r,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,14.912474712400002,14.9225426705,0.8122196450354624,13.360896593,16.40795137,-0.11664521705340364,-0.6580394533159102,0.9766074952581214,0.7299841281498688,False,
original,script_9,original,base,r,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,0.09235858213333334,0.092040134,0.0033134581766320987,0.087748825,0.099464096,0.43862652971008265,-0.6547412890227782,0.9533085389146142,0.20715672040182223,False,
original,script_9,original,base,r,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,1.375,1.37,0.03954482397796546,1.31,1.47,0.9804035300009438,0.886305094882522,0.9130930514741701,0.017822725417510742,True,
translation,script_1,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,16.36412663853333,16.3379328615,0.22117040828988987,15.978294344,16.861236092,0.24747257733102523,-0.21103246661103015,0.9751740242555904,0.68785804123418,False,
translation,script_1,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,0.1727563323,0.172794851,0.0011279691493644413,0.171197931,0.176598543,1.4083093048366915,3.61321597586456,0.894354791524349,0.006128340743440372,True,
translation,script_1,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,2.8269999999999995,2.825,0.04194824397294595,2.75,2.92,0.13267858517420797,-0.34321326282931297,0.9848623990942695,0.9348225874707814,False,
translation,script_10,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,16.8301057641,16.753255306,0.4143569547244941,15.837327419,17.822114513,0.23540572745004434,0.6448757151821893,0.969003808242123,0.5122893152580867,False,
translation,script_10,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.08081021500000002,0.0803302725,0.0017497122359624827,0.079210445,0.089030173,3.772527601971806,17.450552831159527,0.6032657285270968,8.001676954695597e-08,True,
translation,script_10,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,1.3596666666666666,1.36,0.029767296720108548,1.31,1.42,0.48001888538147636,-0.31561910557726236,0.9433594871620596,0.11204338040120543,False,
translation,script_100,starcoder,base,python,data_visualization,02_distribution_boxplot,avg_power_watts,30,16.3173579394,16.308368867,0.20685681472987114,15.857202253,16.743221973,0.08964287603562403,-0.0072274991489518214,0.9814260917855252,0.8620772168688249,False,
translation,script_100,starcoder,base,python,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.4195505026,0.4196263255,0.0010418575957006813,0.417744564,0.42260748,0.8359949412255991,1.6489708716552416,0.9401463373282767,0.09178792218993118,False,
translation,script_100,starcoder,base,python,data_visualization,02_distribution_boxplot,energy_joules,30,6.846000000000001,6.845,0.09186196541363119,6.63,7.03,-0.048110352220329146,0.10587418394785697,0.9855076104487953,0.9455072659265839,False,
translation,script_103,starcoder,base,python,statistical_modelling_analysis,01_linear_regression_inference,avg_power_watts,30,16.58025218406667,16.559846200499997,0.18965437507486915,16.167971197,17.023477942,0.3755237460127955,0.28457387085566577,0.9789772580062913,0.7977522223178838,False,
translation,script_103,starcoder,base,python,statistical_modelling_analysis,01_linear_regression_inference,elapsed_seconds,30,0.6284200992666665,0.628426884,0.0010893264758296442,0.626406451,0.63063734,-0.13211360005013426,-0.4649511519719334,0.9794821286775536,0.8116201398731271,False,
translation,script_103,starcoder,base,python,statistical_modelling_analysis,01_linear_regression_inference,energy_joules,30,10.419333333333334,10.405000000000001,0.11776462009927452,10.15,10.7,0.3181116815271552,0.600511392979429,0.9627207308190356,0.36285621347548835,False,
translation,script_104,starcoder,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,avg_power_watts,30,16.529139207733333,16.53274394,0.19375003492047133,16.13563319,16.927278148,-0.1377408691926854,-0.20926245452579328,0.9871678904101744,0.968155803421165,False,
translation,script_104,starcoder,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,elapsed_seconds,30,0.6324229827333334,0.6331621235,0.0022336483980025415,0.628868989,0.63685142,0.07939564778335106,-1.1093973664231818,0.9454138479984675,0.12728016305947965,False,
translation,script_104,starcoder,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,energy_joules,30,10.453333333333335,10.46,0.12149452473354452,10.21,10.68,-0.24844737429740985,-0.21717909071933317,0.965575825204958,0.42618997031908146,False,
translation,script_105,starcoder,base,r,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,17.6393978208,17.64969849,0.16423116890500716,17.162359206,17.880024637,-0.8226536843806289,0.9586294586739004,0.9432743281704797,0.11145261899249034,False,
translation,script_105,starcoder,base,r,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,1.2204219951,1.219032843,0.0045093184215591305,1.214441558,1.233676895,1.4674715860469862,1.8595383852680172,0.8544420693448975,0.0007691917435942473,True,
translation,script_105,starcoder,base,r,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,21.527333333333328,21.54,0.19676580396297366,21.05,21.84,-0.5751624966848623,-0.150184189701843,0.9653400219493447,0.4206628387838178,False,
translation,script_11,gemini,base,r,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,16.826201976433335,16.790311359500002,0.3662562055294607,16.14787054,17.666118021,0.40313556581939447,-0.1350745649038294,0.978508571737948,0.7846596905010759,False,
translation,script_11,gemini,base,r,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.10289861996666666,0.10289541499999999,0.0015740574227484899,0.101188799,0.109907545,3.172367203385143,13.730914337521483,0.6823842401720435,8.733635107970244e-07,True,
translation,script_11,gemini,base,r,data_visualization,01_scatter_trend_grouped,energy_joules,30,1.7313333333333334,1.73,0.043607444265885406,1.64,1.83,0.7508815328130722,0.498880011930634,0.8991014850212837,0.00798475775654327,True,
translation,script_12,gemini,base,r,data_visualization,02_distribution_boxplot,avg_power_watts,30,16.574387740099997,16.456731980500003,0.3764546931154778,15.998008047,17.390287621,0.7912106967291223,-0.36785184370337287,0.9102818587035132,0.01512602273560617,True,
translation,script_12,gemini,base,r,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.1044170754,0.1044036865,0.0008055902625722839,0.103012321,0.105938416,0.11865624649542507,-0.8573988683927039,0.970800499369643,0.5613049208294509,False,
translation,script_12,gemini,base,r,data_visualization,02_distribution_boxplot,energy_joules,30,1.730666666666667,1.7149999999999999,0.04233962302809181,1.67,1.83,0.8791162051305629,-0.276934429241094,0.891428970885494,0.0052162699842973415,True,
translation,script_120,starcoder,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,avg_power_watts,30,16.255533274033333,16.240934952,0.19437577717541066,15.932398129,16.65088509,0.4010223695751161,-0.5431184872408026,0.9602771921379282,0.3148639284085498,False,
translation,script_120,starcoder,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,elapsed_seconds,30,0.6323938469,0.631468366,0.002557587118424876,0.628961945,0.636917221,0.46957735899947695,-1.4053871308324013,0.8664212767889071,0.0013959747134824542,True,
translation,script_120,starcoder,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,energy_joules,30,10.279666666666666,10.3,0.10892842741383242,10.07,10.51,0.25746986264316035,-0.2720414921247043,0.9656635537396729,0.4282597490815068,False,
translation,script_121,starcoder,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,17.5666580928,17.6237216625,0.23074789686415625,17.05323963,17.939906935,-0.3783311821929123,-0.7489685131854062,0.9604465211940127,0.3180078175468646,False,
