prompt_type,Total,Passed,Failed,Pass rate,Pass rate (%),Mean reliability score,Mean reliability score (%),Mean score among passed
Base,64,46,18,0.7188,71.88,0.5844,58.44,0.8130
Optimized,64,40,24,0.6250,62.50,0.4781,47.81,0.7650
