model,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
gemini,32.0,23.0,9.0,23.0,7.0,2.0,-1.580650292700035,3.156337228922859,-72.01246558023469,87.93222257969288
gpt,29.0,11.0,18.0,11.0,18.0,0.0,7.817936892708404,45.93096061248991,-71.98362177045706,464.26113022386943
llama,13.0,7.0,6.0,7.0,6.0,0.0,-9.06991822444938,9.24207058081767,-72.0371081970344,869.1024223530119
starcoder,10.0,5.0,5.0,5.0,5.0,0.0,-4.552472876820491,16.11278482923437,-50.51423482297306,1467.3661827480744
