model,prompt_type,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
gemini,base,16.0,10.0,6.0,10.0,2.0,4.0,-1.8092917712062062,4.117583107763247,-72.68025240508948,84.46199113561033
gemini,optimized,16.0,13.0,3.0,10.0,2.0,4.0,-0.9749711839458797,2.617475357757123,-71.3933160942708,70.32217214793843
gpt,base,14.0,6.0,8.0,6.0,8.0,0.0,3.799704562728753,20.53604896244721,-72.3069110469545,478.8461538461539
gpt,optimized,15.0,6.0,9.0,6.0,8.0,1.0,8.388465085519872,71.19568957888836,-72.34640811758841,416.2957593330917
llama,base,8.0,6.0,2.0,5.0,2.0,1.0,-0.5306337296862897,5.063272147568877,-44.048193754122096,891.7923926901829
llama,optimized,5.0,5.0,0.0,5.0,0.0,0.0,-17.071753063003815,17.071753063003815,-72.5025155872368,-1.4492611128044044
starcoder,base,7.0,6.0,1.0,6.0,1.0,0.0,-10.028375622300166,13.695121367357675,-50.76050668715536,1531.0619789778905
starcoder,optimized,3.0,1.0,2.0,1.0,2.0,0.0,17.153417918522095,17.153417918522095,-17.0312189302048,1549.945632475535
