model,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
gemini,32.0,23.0,9.0,20.0,4.0,8.0,-1.29304186312328,3.5448246325160344,-72.68025240508948,84.46199113561033
gpt,29.0,12.0,17.0,12.0,16.0,1.0,7.275324655195124,46.032242491823794,-72.34640811758841,478.8461538461539
llama,13.0,11.0,2.0,10.0,2.0,1.0,-9.496966088597793,9.645178044362217,-72.5025155872368,891.7923926901829
starcoder,10.0,7.0,3.0,7.0,3.0,0.0,-5.8985910478987735,17.092318424363448,-50.76050668715536,1549.945632475535
