model,prompt_type,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
gemini,base,16.0,11.0,5.0,11.0,4.0,1.0,-1.7514035197021431,3.8592365579706147,-72.01246558023469,87.93222257969288
gemini,optimized,16.0,12.0,4.0,12.0,3.0,1.0,-1.253007786770948,2.6551010319897426,-70.56046891228142,68.22150731717778
gpt,base,14.0,5.0,9.0,5.0,9.0,0.0,4.18704726020653,19.946966665527917,-71.90290775293715,464.26113022386943
gpt,optimized,15.0,6.0,9.0,6.0,9.0,0.0,8.818298672720049,70.54552750001865,-71.98362177045706,393.0617753189595
llama,base,8.0,3.0,5.0,3.0,5.0,0.0,0.1450933536605159,5.476022935699872,-44.12113496709136,869.1024223530119
llama,optimized,5.0,4.0,1.0,4.0,1.0,0.0,-16.10136523845675,16.10136523845675,-72.0371081970344,0.0734954663306682
starcoder,base,7.0,4.0,3.0,4.0,3.0,0.0,-9.214990632389064,12.56602743361366,-50.51423482297306,1452.5184345610885
starcoder,optimized,3.0,1.0,2.0,1.0,2.0,0.0,19.869882352027403,19.869882352027403,-16.039324611161376,1467.3661827480744
