language,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
python,51.0,33.0,18.0,33.0,17.0,1.0,-9.245070450191132,14.240092739336191,-72.0371081970344,14.700947943377532
r,33.0,13.0,20.0,13.0,19.0,1.0,19.869882352027403,19.869882352027403,-10.6182408069191,1467.3661827480744
