prompt_type,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
base,45.0,28.0,17.0,27.0,13.0,5.0,-1.1430204314901982,11.00806677273128,-72.68025240508948,1531.0619789778905
optimized,39.0,25.0,14.0,22.0,12.0,5.0,-1.443063294756362,18.73365860925921,-72.5025155872368,1549.945632475535
