model,language,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
gemini,python,16.0,10.0,6.0,10.0,5.0,1.0,-11.537038188305447,17.30225048489997,-72.01246558023469,14.700947943377532
gemini,r,16.0,13.0,3.0,13.0,2.0,1.0,-0.5942370858902983,1.580650292700035,-10.6182408069191,87.93222257969288
gpt,python,16.0,11.0,5.0,11.0,5.0,0.0,-14.509750522641681,14.509750522641681,-71.98362177045706,8.818298672720049
gpt,r,13.0,0.0,13.0,0.0,13.0,0.0,348.65952817255186,348.65952817255186,16.73706163625907,464.26113022386943
llama,python,12.0,7.0,5.0,7.0,5.0,0.0,-9.155994402633524,9.155994402633524,-72.0371081970344,1.709975290582073
llama,r,1.0,0.0,1.0,0.0,1.0,0.0,869.1024223530119,869.1024223530119,869.1024223530119,869.1024223530119
starcoder,python,7.0,5.0,2.0,5.0,2.0,0.0,-12.56602743361366,12.56602743361366,-50.51423482297306,0.1241863495783022
starcoder,r,3.0,0.0,3.0,0.0,3.0,0.0,1452.5184345610885,1452.5184345610885,19.869882352027403,1467.3661827480744
