model,language,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
gemini,python,16.0,13.0,3.0,12.0,2.0,2.0,-11.94747011326217,17.28583098257707,-72.68025240508948,14.512933250323542
gemini,r,16.0,10.0,6.0,8.0,2.0,6.0,-0.16810678747346305,1.29304186312328,-11.00806677273128,84.46199113561033
gpt,python,16.0,12.0,4.0,12.0,3.0,1.0,-14.73475496222703,14.73475496222703,-72.34640811758841,8.388465085519872
gpt,r,13.0,0.0,13.0,0.0,13.0,0.0,370.36566615415467,370.36566615415467,18.19780782053228,478.8461538461539
llama,python,12.0,11.0,1.0,10.0,1.0,1.0,-9.571072066480005,9.571072066480005,-72.5025155872368,0.620506686850772
llama,r,1.0,0.0,1.0,0.0,1.0,0.0,891.7923926901829,891.7923926901829,891.7923926901829,891.7923926901829
starcoder,python,7.0,7.0,0.0,7.0,0.0,0.0,-13.695121367357675,13.695121367357675,-50.76050668715536,-0.8764588054957306
starcoder,r,3.0,0.0,3.0,0.0,3.0,0.0,1531.0619789778905,1531.0619789778905,17.153417918522095,1549.945632475535
