language,n_candidates,lower_than_original,higher_than_original,significant_lower,significant_higher,nonsignificant,median_pct_diff,median_abs_pct_diff,min_pct_diff,max_pct_diff
python,51.0,43.0,8.0,41.0,6.0,4.0,-10.028375622300166,13.695121367357675,-72.68025240508948,14.512933250323542
r,33.0,10.0,23.0,8.0,19.0,6.0,18.73365860925921,18.73365860925921,-11.00806677273128,1549.945632475535
