dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
original,script_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,16.1640993963,16.141549785000002,0.21248693898004153,15.789982063,16.681244521,0.38614255329564806,-0.2750267180889847,0.9781346119342597,0.7740820595180903,False,
original,script_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,0.5877041638,0.587691752,0.002727597266191376,0.583269936,0.595585254,1.1195404824048,2.017681057806758,0.916252120652825,0.021465154457182525,True,
original,script_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,9.499587221966667,9.5073405555,0.12294132463119711,9.238770596,9.768606886,0.126788232460649,-0.3998073978598211,0.9862957851074392,0.9571378756889185,False,
original,script_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,14.6580354875,14.6625166665,0.8283427944482579,12.412815168,16.195165919,-0.44508120520364225,0.27498210387416044,0.9579064974744467,0.2735967563875032,False,
original,script_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.09346561816666667,0.0931990285,0.003936977990064873,0.087984595,0.105183462,0.8986624435160805,1.3265426775205222,0.9359746714644297,0.07089742995246384,False,
original,script_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,1.3671192839333335,1.3700487360000002,0.03387248740437702,1.305622872,1.460525539,0.586814788663015,0.817016359152563,0.9671935378931327,0.4655121318890061,False,
original,script_11,original,base,r,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,14.865875171966668,14.743759365999999,0.5500898798358488,14.066916681,15.937357499,0.40464716965629527,-1.193177532146056,0.9119946350019875,0.016713408334820462,True,
original,script_11,original,base,r,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.11433397246666668,0.1144237505,0.002686373635166802,0.109903586,0.11961038,0.07124534424883476,-0.686529440066681,0.9728831897905907,0.6206866613912254,False,
original,script_11,original,base,r,data_visualization,01_scatter_trend_grouped,energy_joules,30,1.6986322096666666,1.692443826,0.043383997565593586,1.642359974,1.831660479,1.202615979930933,1.781157530851969,0.9094303908852799,0.0143966255408138,True,
original,script_12,original,base,r,data_visualization,02_distribution_boxplot,avg_power_watts,30,15.033689691400003,14.876527023,0.6892174124556064,12.978814155,16.343283151,-0.4290105696395956,1.507355613866313,0.9400249671451952,0.09109964917005427,False,
