dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
original,,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,100,17.255593039580003,17.258306679,0.31460113316510235,16.385903011,18.009423939,-0.31383416444582307,0.10467731188487539,0.9895704701789492,0.6299552238354068,False,
original,,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,100,0.5894189147000001,0.5893560455,0.001163476631020451,0.587218977,0.59210685,0.2766678639395519,-0.6125687405969642,0.9804050639984906,0.14293231961210767,False,
original,,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,100,10.170699999999998,10.175,0.18255899835063694,9.66,10.61,-0.23388861146267326,0.01104963733432296,0.9920402700808332,0.8241356226406424,False,
original,,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,100,17.092193965179998,17.1788325745,0.36434875926198507,16.096768839,17.687060582,-0.7714757844720949,0.14181644446908814,0.9476347103575047,0.0005814289185852655,True,
original,,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,100,0.62213543004,0.6220164105,0.0011934960953094299,0.619649702,0.625846501,0.6034084239878701,0.5850996405450424,0.9740164839622961,0.045204654474874435,True,
original,,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,100,10.6337,10.675,0.22948627299895197,10.02,11.02,-0.7472486490188947,0.15383843009714404,0.9503522478391722,0.0008751680104035005,True,
original,,original,base,python,data_visualization,01_scatter_trend_grouped,avg_power_watts,100,17.23101931908,17.268708637499998,0.32543224924876496,16.30310908,17.717732192,-0.8097805905203448,0.2150343186444883,0.937733406652487,0.00014060708591711663,True,
original,,original,base,python,data_visualization,01_scatter_trend_grouped,elapsed_seconds,100,0.91626322943,0.9161050690000001,0.001586728489309356,0.912467758,0.921534557,0.3927916668314342,0.7906796999204926,0.9811132028104426,0.16216877963938928,False,
original,,original,base,python,data_visualization,01_scatter_trend_grouped,energy_joules,100,15.788199999999994,15.815000000000001,0.30209831833261497,14.94,16.27,-0.7852878878368363,0.22203089218739702,0.9436355355426432,0.000323508941525801,True,
original,,original,base,python,data_visualization,02_distribution_boxplot,avg_power_watts,100,17.25405683026,17.287886083,0.3243675128985576,16.289096404,17.873856273,-0.7432978790237136,0.622740584594446,0.960576081142828,0.0044209791951947165,True,
original,,original,base,python,data_visualization,02_distribution_boxplot,elapsed_seconds,100,0.8523923748800002,0.852438289,0.0015410224012219658,0.848570393,0.856517318,0.13765947549366686,-0.196001997587695,0.9905184018584445,0.7064763095578288,False,
original,,original,base,python,data_visualization,02_distribution_boxplot,energy_joules,100,14.7073,14.745000000000001,0.2816827321937957,13.88,15.25,-0.6939546796921329,0.481929364628344,0.9639999453738785,0.007833952571320439,True,
original,,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,avg_power_watts,100,17.15758078235,17.102640479,0.26031740503464035,16.172365142,17.587850112,-0.9811233387541496,2.4568593740816063,0.9109389524481308,4.8005769961683125e-06,True,
original,,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,elapsed_seconds,100,2.25614664624,2.2553947835,0.005619927874884895,2.247828754,2.275063189,0.7111021924220498,0.4574135259954426,0.957320570161144,0.002602055154360044,True,
