model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,elapsed_seconds_cliffs_delta_abs,elapsed_seconds_cliffs_delta_magnitude,elapsed_seconds_cliffs_delta_direction,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,energy_joules_cliffs_delta_abs,energy_joules_cliffs_delta_magnitude,energy_joules_cliffs_delta_direction,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,avg_power_watts_cliffs_delta_abs,avg_power_watts_cliffs_delta_magnitude,avg_power_watts_cliffs_delta_direction,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
llama,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,30,30,0.0,3.0198593591621564e-11,2.2837457555666676,3.115271052633334,2.2821656285,2.7244318635,-26.69190844128248,-16.2333380740832,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.017966798490446e-11,37.69466666666667,97.661,37.864999999999995,101.845,-61.402538713850284,-62.82095340959302,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,0.0,3.0198593591621564e-11,16.505645224033334,33.22653140563333,16.567440543,37.2689103405,-50.32389922820859,-55.546216963053475,-1.0,-1.0,1.0,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,1.6043002845548956e-10
llama,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,original,30,30,710.0,0.0001247705378909994,12.213269793633335,12.182617280799999,12.212473651500002,12.174177088,0.25160860040843147,0.31457209159336,0.5777777777777777,0.5777777777777777,0.5777777777777777,large,candidate_higher_elapsed_seconds,661.5,0.0018104322279762022,195.28766666666667,193.51733333333328,194.97,193.115,0.9148189998484461,0.9605675374776634,0.47,0.47,0.47,medium,candidate_higher_energy_joules,624.0,0.010314672402337997,15.989696945633334,15.884592850799999,15.970608404,15.858321345,0.6616732063613544,0.7080639656441506,0.3866666666666667,0.38666666666666666,0.38666666666666666,medium,candidate_higher_avg_power_watts,0.00013954599632545986,0.0022302425996808288,0.016860522196129418
llama,base,python,statistical_modelling_analysis,01_linear_regression_inference,original,30,30,459.0,0.8999950372363642,0.7239702355666666,0.7242042895333333,0.7236885875,0.7233002425,-0.032318776628272726,0.0536907050739661,0.020000000000000018,0.02,0.02,negligible,candidate_higher_elapsed_seconds,425.5,0.722568245653016,12.009666666666668,12.029666666666667,12.015,12.0,-0.16625564576463386,0.12500000000000472,-0.054444444444444406,-0.05444444444444444,0.05444444444444444,negligible,candidate_lower_energy_joules,434.0,0.8187456534765797,16.5889506031,16.611134751399998,16.575846429000002,16.546834465499998,-0.13354986659252435,0.17533240911120243,-0.03555555555555556,-0.035555555555555556,0.035555555555555556,negligible,candidate_lower_avg_power_watts,0.8999950372363641,0.722568245653016,0.8922228275065291
llama,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.6327017128333333,0.7562265260666666,0.6329196429999999,0.7555736799999999,-16.334366618401816,-16.233233137501564,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.9766032448298916e-11,10.486333333333333,12.538666666666666,10.51,12.52,-16.36803487877499,-16.054313099041533,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,450.0,1.0,16.57402837433333,16.580972812166667,16.608225287000003,16.5601725545,-0.04188196863962587,0.29017048187065114,0.0,0.0,0.0,negligible,no_direction,4.0744134210917984e-11,4.664130506757962e-11,1.0
llama,base,r,data_visualization,02_distribution_boxplot,original,30,30,900.0,3.0198593591621564e-11,1.0033231851666666,0.1179408338,1.002255618,0.11801191350000001,750.7004341414674,749.2834225588588,1.0,1.0,1.0,large,candidate_higher_elapsed_seconds,900.0,2.8990694920473808e-11,17.905666666666665,1.809666666666667,17.89,1.8,889.4455700865718,893.8888888888888,1.0,1.0,1.0,large,candidate_higher_energy_joules,900.0,3.0198593591621564e-11,17.846924492766668,15.360519849400001,17.841436333,15.203357181000001,16.186982392160306,17.351951418314833,1.0,1.0,1.0,large,candidate_higher_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,1.6043002845548956e-10
llama,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,363.0,0.20094889697592833,0.5866990098333333,0.5877041638,0.5868477405000001,0.587691752,-0.1710306015474706,-0.14361465804609558,-0.19333333333333336,-0.19333333333333333,0.19333333333333333,small,candidate_lower_elapsed_seconds,337.5,0.09735957685291093,9.642666666666667,9.691666666666666,9.635000000000002,9.7,-0.5055889939810781,-0.6701030927834818,-0.25,-0.25,0.25,small,candidate_lower_energy_joules,377.0,0.2837780479456242,16.4356559904,16.490929554299996,16.3925683635,16.468379943000002,-0.33517555040178004,-0.46034631070207876,-0.16222222222222227,-0.1622222222222222,0.1622222222222222,small,candidate_lower_avg_power_watts,0.20830068588968179,0.10475397509490415,0.36001692649818
llama,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,0.0,3.0198593591621564e-11,0.17323796290000004,0.6203006892333333,0.173284114,0.619173945,-72.07193770587048,-72.01366184747971,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.944995474369126e-11,2.8413333333333326,10.174666666666669,2.84,10.165,-72.07443323286596,-72.0609936055091,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,423.0,0.6952153990669099,16.401365641366667,16.403175427300006,16.399351079,16.4126949485,-0.011033143804140633,-0.0813021233982125,-0.06000000000000005,-0.06,0.06,negligible,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.7879107856091646
llama,optimized,python,data_visualization,01_scatter_trend_grouped,original,30,30,0.0,3.0198593591621564e-11,0.8275972031000002,0.9117480123333335,0.8279153459999999,0.9092514925,-9.229612578806249,-8.945395984598846,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.9953403131131725e-11,13.747333333333334,15.159666666666663,13.705,15.14,-9.316387783372521,-9.478203434610306,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,400.0,0.46427291062161524,16.611294348766666,16.627998249766666,16.5671078395,16.6298251815,-0.1004564755726627,-0.3771377108026944,-0.11111111111111116,-0.1111111111111111,0.1111111111111111,negligible,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.5480999639282957
llama,optimized,python,data_visualization,02_distribution_boxplot,original,30,30,0.0,3.0198593591621564e-11,0.47318383626666666,0.8475414639000001,0.4735708795,0.845047822,-44.16983045415973,-43.95928050803259,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.9598313747911405e-11,7.7893333333333326,14.261666666666665,7.765,14.27,-45.3827275914456,-45.585143658023824,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,87.0,8.35199591655616e-08,16.4616190494,16.827555831333335,16.412990726,16.8570050035,-2.1746282442988654,-2.634004542371607,-0.8066666666666666,-0.8066666666666666,0.8066666666666666,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,2.21849891533523e-07
llama,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.6305156756999999,0.7562265260666666,0.630067662,0.7555736799999999,-16.623438352595482,-16.610692156455205,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.98034208171797e-11,10.333333333333332,12.538666666666666,10.325,12.52,-17.588260314759683,-17.531948881789138,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,234.0,0.0014423282031954525,16.388790759499997,16.580972812166667,16.383789657,16.5601725545,-1.1590517326320686,-1.0651030170097382,-0.48,-0.48,0.48,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.002608465899396031
