group_name,n_runs,spearman_rho_elapsed_vs_energy,p_value,elapsed_mean,energy_mean,dataset,model,prompt_type,language,category,snippet,p_value_fdr_bh
overall_by_dataset,480,0.9908014970951473,0.0,1.4921030551333334,27.2460625,original,,,,,,0.0
overall_by_dataset,2550,0.9965259263306673,0.0,2.6535983588945093,45.42010980392157,translation,,,,,,0.0
by_model_prompt_language,240,0.9784725092953229,4.0931205409664653e-165,2.2357404631333333,35.95379166666667,,gemini,base,python,,,7.016778070228226e-164
by_model_prompt_language,240,0.9596248401063499,4.2375449868965164e-133,0.6386441282666666,11.149458333333335,,gemini,base,r,,,5.0850539842758194e-132
by_model_prompt_language,240,0.9856642714169155,6.083573451378068e-186,2.2174331638291664,35.87766666666666,,gemini,optimized,python,,,2.4334293805512273e-184
by_model_prompt_language,240,0.9648390601491229,4.1277546180101535e-140,0.6338083277833333,11.082833333333333,,gemini,optimized,r,,,5.503672824013538e-139
by_model_prompt_language,240,0.978860942890027,4.797347816507945e-166,2.2507361445125,36.47970833333333,,gpt,base,python,,,9.59469563301589e-165
by_model_prompt_language,180,0.94510084261968,2.175445658097046e-88,0.9859359065277775,17.495555555555555,,gpt,base,r,,,1.7403565264776368e-87
by_model_prompt_language,240,0.9789003842601148,3.850322226748069e-166,2.1474972550625,34.620125,,gpt,optimized,python,,,9.240773344195367e-165
by_model_prompt_language,240,0.9570337236298742,5.949759411431784e-130,13.497780333608334,240.96541666666664,,gpt,optimized,r,,,6.490646630652854e-129
by_model_prompt_language,210,0.9804770577101324,6.786327419272451e-149,2.5389222425238094,41.002809523809525,,llama,base,python,,,1.0179491128908676e-147
by_model_prompt_language,30,-0.12003123719891018,0.5275219582960938,1.0033231851666666,17.905666666666665,,llama,base,r,,,0.66634352626875
by_model_prompt_language,150,0.9686664371732931,2.0098936517216987e-91,0.53824673756,8.870800000000001,,llama,optimized,python,,,1.8552864477431065e-90
by_model_prompt_language,240,0.9855407934236258,1.675858078252475e-185,2.4682016847875,45.62929166666667,,original,base,python,,,5.027574234757425e-184
by_model_prompt_language,240,0.9408612174327761,7.30452647822444e-114,0.5160044254791667,8.862833333333333,,original,base,r,,,7.30452647822444e-113
by_model_prompt_language,180,0.9459435852551332,5.7012189362611664e-89,0.6179654113222223,10.199388888888889,,starcoder,base,python,,,4.886759088223857e-88
by_model_prompt_language,30,0.25122510008951965,0.18052455042873597,1.2204219951,21.527333333333328,,starcoder,base,r,,,0.355130263138497
by_model_prompt_language,30,-0.1770152225636985,0.3493899208643675,0.6323938469,10.279666666666666,,starcoder,optimized,python,,,0.53752295517595
by_model_prompt_language,60,0.7892850223329612,6.787569601931562e-14,1.8197528283666669,32.21066666666666,,starcoder,optimized,r,,,4.0725417611589375e-13
by_candidate,30,0.3430054678840568,0.06350547491581993,0.1727563323,2.8269999999999995,,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,0.16057105571733798
