group_name,n_runs,spearman_rho_elapsed_vs_energy,p_value,elapsed_mean,energy_mean,dataset,model,prompt_type,language,category,snippet,p_value_fdr_bh
overall_by_dataset,1600,0.9955958179010638,0.0,1.437562521338125,24.150275,original,,,,,,0.0
overall_by_dataset,8400,0.9969256909869147,0.0,1.4560819169805952,24.466482142857146,translation,,,,,,0.0
by_model_prompt_language,800,0.9784919100499947,0.0,2.2395392146487496,36.7301875,,gemini,base,python,,,0.0
by_model_prompt_language,800,0.9756691313868415,0.0,0.6471802255350001,11.5464375,,gemini,base,r,,,0.0
by_model_prompt_language,800,0.9867694453328598,0.0,2.22175916760375,36.4931375,,gemini,optimized,python,,,0.0
by_model_prompt_language,800,0.9746038542111072,0.0,0.6349933720475,11.576075000000001,,gemini,optimized,r,,,0.0
by_model_prompt_language,800,0.9771751966743358,0.0,2.2587147622512496,37.109674999999996,,gpt,base,python,,,0.0
by_model_prompt_language,600,0.9238234242500817,1.5055825066980527e-251,1.0092242938699998,18.4391,,gpt,base,r,,,1.1944287886471219e-250
by_model_prompt_language,800,0.9781464525442218,0.0,2.1542644459362497,35.471537500000004,,gpt,optimized,python,,,0.0
by_model_prompt_language,700,0.9311491356047024,4.90728330604589e-308,0.5848921712728572,10.459514285714285,,gpt,optimized,r,,,4.866389278495508e-307
by_model_prompt_language,700,0.9773598589330151,0.0,2.5439749722700005,41.6195,,llama,base,python,,,0.0
by_model_prompt_language,100,0.312194482763451,0.0015662325027794633,1.02942632894,18.6695,,llama,base,r,,,0.003882951413140753
by_model_prompt_language,500,0.9670934475440534,3.4144090905601476e-298,0.5423890935080001,9.24626,,llama,optimized,python,,,3.125497552128135e-297
by_model_prompt_language,800,0.983910211703337,0.0,2.3642337430425,39.056149999999995,,original,base,python,,,0.0
by_model_prompt_language,800,0.9819116340232408,0.0,0.5108912996337499,9.2444,,original,base,r,,,0.0
by_model_prompt_language,600,0.9258350164045156,6.87592275586637e-255,0.6235057860566667,10.601433333333334,,starcoder,base,python,,,5.844534342486414e-254
by_model_prompt_language,100,0.3144823274062926,0.001439847322454895,1.26353234684,22.5005,,starcoder,base,r,,,0.003724822421133315
by_model_prompt_language,100,0.011566731345547823,0.9090658590460119,0.63895433552,10.848500000000001,,starcoder,optimized,python,,,0.9246054463801316
by_model_prompt_language,200,0.8883843626172018,7.271243082788203e-69,1.8584812794949999,33.361,,starcoder,optimized,r,,,5.407987042823726e-68
by_candidate,100,0.2220849731628419,0.026368653679133734,0.17373497663999998,2.9027000000000003,,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,0.04298451764132759
by_candidate,100,0.1875605385948193,0.061672305707647035,0.17412036762,2.9051,,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,0.08634122799070584
by_candidate,100,0.26050232335594653,0.008854239644241277,0.9184997534899999,15.676000000000002,,gemini,base,python,data_visualization,01_scatter_trend_grouped,0.017273024879749375
by_candidate,100,0.03898474352323523,0.7001688575841979,0.48549248522000005,8.3592,,gemini,base,python,data_visualization,02_distribution_boxplot,0.7506314779506266
by_candidate,100,0.32969374073412355,0.0008091127220619628,2.5774240209999992,43.9921,,gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,0.00246883112629163
by_candidate,100,0.22492056499374816,0.02445923766164146,12.266780162280002,197.43490000000003,,gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,0.04158070402479048
by_candidate,100,0.16902695272269644,0.09273612621419496,0.58315803661,9.9977,,gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,0.12399549460100223
by_candidate,100,0.19990697347736813,0.04613967566635276,0.73710391433,12.573799999999997,,gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,0.06863276755369974
by_candidate,100,0.33122518141838125,0.0007622354130194022,0.08121947274000002,1.3816999999999995,,gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,0.002387000372350233
by_candidate,100,0.2993578711907476,0.0024810010911730084,0.08112568858000001,1.3838,,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,0.0056776755740305385
by_candidate,100,0.44941421904358847,2.726961255458295e-06,0.10284097161,1.8172000000000004,,gemini,base,r,data_visualization,01_scatter_trend_grouped,1.2018829237019892e-05
by_candidate,100,0.5463035223044659,4.121479808219874e-09,0.10413687327,1.8357999999999999,,gemini,base,r,data_visualization,02_distribution_boxplot,2.2293458962643862e-08
by_candidate,100,0.9717246636677508,3.046970468443514e-63,1.82040572881,33.3936,,gemini,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,2.1328793279104598e-62
by_candidate,100,0.05605233191668727,0.5796391270767455,2.8093741902800002,49.52620000000001,,gemini,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,0.6270641465648428
by_candidate,100,0.39586097379424084,4.568421080722364e-05,0.08798417147999997,1.4967000000000001,,gemini,base,r,statistical_modelling_analysis,01_linear_regression_inference,0.00017536842213095526
by_candidate,100,0.1629227309883465,0.105321498456668,0.09035470751000002,1.5364999999999998,,gemini,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,0.137728113366412
by_candidate,100,0.2634349960167044,0.008092641590737474,0.17352216463,2.9095,,gemini,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,0.016050405821629324
by_candidate,100,-0.18371439141311502,0.06730192960565354,0.6223581620699999,10.5798,,gemini,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,0.09205666233416977
by_candidate,100,0.37557613732372286,0.00011787712861346197,0.37388226017000004,6.4089,,gemini,optimized,python,data_visualization,01_scatter_trend_grouped,0.0004007822372857707
by_candidate,100,0.22695975009085886,0.023160158668742103,0.48593419042999997,8.384899999999998,,gemini,optimized,python,data_visualization,02_distribution_boxplot,0.04053027767029868
by_candidate,100,0.25008401389244606,0.012093347959891646,2.5878215902300004,44.3283,,gemini,optimized,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,0.02248606886292353
by_candidate,100,0.01713797086857813,0.8656098705209808,12.211049802359998,196.66530000000003,,gemini,optimized,python,machine_learning_workflows,02_regression_workflow_feature_importance,0.9035752157192695
by_candidate,100,0.4411792241033617,4.342149487114531e-06,0.58261717397,10.0184,,gemini,optimized,python,statistical_modelling_analysis,01_linear_regression_inference,1.7817785826435488e-05
by_candidate,100,0.21160096603140877,0.03456656794326775,0.7368879969700001,12.65,,gemini,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,0.0541239682269587
by_candidate,100,0.3880730344873546,6.622215714691049e-05,0.08113657174,1.3781999999999999,,gemini,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,0.0002462636468900734
by_candidate,100,0.2893051719086748,0.00350728408891033,0.08105426668,1.3796000000000002,,gemini,optimized,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,0.007874845407176024
by_candidate,100,0.5269422853041732,1.781972919128524e-08,0.10238929835000002,1.8163,,gemini,optimized,r,data_visualization,01_scatter_trend_grouped,9.090060991415827e-08
by_candidate,100,0.44455327165978686,3.5939076930847824e-06,0.10395185170000001,1.8451000000000002,,gemini,optimized,r,data_visualization,02_distribution_boxplot,1.5274107695610323e-05
by_candidate,100,0.9661773133662913,1.7320555265188402e-59,2.0186997361000003,37.4335,,gemini,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,1.145081153643011e-58
by_candidate,100,0.11563205214135182,0.2519481326698242,2.51472128845,45.72979999999998,,gemini,optimized,r,machine_learning_workflows,02_regression_workflow_feature_importance,0.2802039980159727
