model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,original,100,100,0.0,2.562143669163401e-34,0.17373497663999998,0.5894189147000001,0.1736600695,0.5893560455,-70.5243635202262,-70.53392922224634,-1.0,-1.0,0.0,2.4655312007905e-34,2.9027000000000003,10.170699999999998,2.9,10.175,-71.46017481589271,-71.49877149877149,-1.0,-1.0,1108.0,1.935284520881281e-21,16.70752216312,17.255593039580003,16.677903491000002,17.258306679,-3.1761926420196938,-3.363036703399389,-0.7784,-0.7784,3.7106908312021666e-34,4.212401134716591e-34,1.6256389975402763e-20
gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,100,100,0.0,2.562143669163401e-34,0.17412036762,0.62213543004,0.1740106855,0.6220164105,-72.01246558023469,-72.02474363013611,-1.0,-1.0,0.0,2.3889960478518655e-34,2.9051,10.6337,2.9,10.675,-72.68025240508948,-72.8337236533958,-1.0,-1.0,1917.0,5.006618498718947e-14,16.68444915911,17.092193965179998,16.671081997,17.1788325745,-2.3855615428929244,-2.9556756857488384,-0.6166,-0.6166,3.7106908312021666e-34,4.212401134716591e-34,2.5205900372279573e-13
gemini,base,python,data_visualization,01_scatter_trend_grouped,original,100,100,8295.0,8.296692736633278e-16,0.9184997534899999,0.91626322943,0.9183308834999999,0.9161050690000001,0.2440918709999068,0.24296498025378918,0.659,0.659,3680.0,0.0012612717129160218,15.676000000000002,15.788199999999994,15.695,15.815000000000001,-0.7106573263576124,-0.7587733164717103,-0.264,-0.264,3315.0,3.856906027044998e-05,17.06687940577,17.23101931908,17.094573387,17.268708637499998,-0.9525838853204077,-1.008386059174411,-0.33699999999999997,-0.337,1.010032159242312e-15,0.0015354612157238527,0.00010450971170057412
gemini,base,python,data_visualization,02_distribution_boxplot,original,100,100,0.0,2.562143669163401e-34,0.48549248522000005,0.8523923748800002,0.4855573755,0.852438289,-43.04354431979196,-43.03899980025416,-1.0,-1.0,0.0,2.531723560946778e-34,8.3592,14.7073,8.38,14.745000000000001,-43.16291909459928,-43.167175313665645,-1.0,-1.0,4668.0,0.41794970721149316,17.2180246332,17.25405683026,17.2620184335,17.287886083,-0.2088331887073055,-0.14962875955919908,-0.06640000000000001,-0.0664,3.7106908312021666e-34,4.212401134716591e-34,0.48760799174674196
gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,100,100,10000.0,2.562143669163401e-34,2.5774240209999992,2.25614664624,2.5756579295,2.2553947835,14.240092739336193,14.199870831615776,1.0,1.0,10000.0,2.552347720256187e-34,43.9921,38.710300000000004,43.915,38.61,13.64443055207528,13.73996373996374,1.0,1.0,3798.0,0.0033276194585759,17.068164134209997,17.15758078235,17.0526802935,17.102640479,-0.5211495097956056,-0.29211972011776033,-0.24039999999999995,-0.2404,3.7106908312021666e-34,4.212401134716591e-34,0.0066552389171518
gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,original,100,100,9510.0,3.1133235897465528e-28,12.266780162280002,12.188427361819999,12.257843237,12.1851330055,0.6428458580755174,0.5967126617918831,0.9019999999999999,0.902,5784.5,0.055410950236034415,197.43490000000003,196.8314,197.95,196.93,0.30660758395257326,0.5179505408012908,0.15690000000000004,0.1569,4050.0,0.02034099914474973,16.09511698286,16.14906667013,16.143333819,16.170231144,-0.3340730976718901,-0.16633853134486892,-0.18999999999999995,-0.19,4.151098119662071e-28,0.06206026426435854,0.03714443322084733
gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,original,100,100,0.0,2.562143669163401e-34,0.58315803661,0.7280697941600001,0.5832282,0.728229206,-19.903553026422408,-19.911451615138873,-1.0,-1.0,0.0,2.5305825435884063e-34,9.9977,12.5322,10.04,12.555,-20.223903225291647,-20.031859816806058,-1.0,-1.0,4406.0,0.14701633090062008,17.14397975351,17.212827800569997,17.19835896,17.268128143,-0.39998103657156103,-0.40403442933842637,-0.11880000000000002,-0.1188,3.7106908312021666e-34,4.212401134716591e-34,0.19295893430706385
gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,100,100,0.0,2.562143669163401e-34,0.73710391433,0.7610161930699999,0.7369846,0.761064186,-3.1421511076572326,-3.1639362938042703,-1.0,-1.0,902.0,1.3395393964004945e-23,12.573799999999997,13.0754,12.585,13.085,-3.8362115116937407,-3.821169277799006,-0.8196,-0.8196,4033.0,0.01819943625435643,17.058299160620003,17.181455004,17.080064949,17.197560049,-0.716795191974869,-0.6832079647649283,-0.19340000000000002,-0.1934,3.7106908312021666e-34,2.0093090946007416e-23,0.033972281008132
gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,original,100,100,2962.0,6.411044439874284e-07,0.08121947274000002,0.08138598026999999,0.081202095,0.081335457,-0.2045899422082009,-0.1639653908872707,-0.40759999999999996,-0.4076,5382.5,0.34564134435912264,1.3816999999999995,1.3795,1.38,1.38,0.15947807176509865,0.0,0.07650000000000001,0.0765,5831.0,0.04243441413732605,17.011779908319998,16.949997811619998,17.017896207,16.931894618,0.36449619278207557,0.5079265548261312,0.1661999999999999,0.1662,7.277401796614051e-07,0.3675173788122317,0.06365162120598908
gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,100,100,136.0,1.4433541583120448e-32,0.08112568858000001,0.08239231195,0.081090833,0.08236083250000001,-1.5373077172159597,-1.5419944911314578,-0.9728,-0.9728,3160.0,5.892629065773677e-06,1.3838,1.3997999999999997,1.3849999999999998,1.4,-1.1430204314901982,-1.0714285714285805,-0.368,-0.368,5628.0,0.12522005048293378,17.057373259429998,16.989451495820003,17.0693596805,17.0094530135,0.3997878544031044,0.35219631667434226,0.12559999999999993,0.1256,1.9875696606264223e-32,7.499709720075589e-06,0.16696006731057836
