group_name,n_runs,spearman_rho_elapsed_vs_energy,p_value,elapsed_mean,energy_mean,dataset,model,prompt_type,language,category,snippet,p_value_fdr_bh
overall_by_dataset,480,0.9903054049713755,0.0,1.4921030551333334,26.758398222727084,original,,,,,,0.0
overall_by_dataset,2550,0.9963892926125063,0.0,2.6535983588945093,44.552833833021566,translation,,,,,,0.0
by_model_prompt_language,240,0.9774753033906837,8.44573535724138e-163,2.2357404631333333,35.223084257850005,,gemini,base,python,,,1.4478403469556651e-161
by_model_prompt_language,240,0.9559054844702162,1.215542499046803e-128,0.6386441282666666,10.940730172004168,,gemini,base,r,,,1.4586509988561638e-127
by_model_prompt_language,240,0.9851750898453097,3.2043701211135875e-184,2.2174331638291664,35.15294263537917,,gemini,optimized,python,,,9.613110363340763e-183
by_model_prompt_language,240,0.960618239899998,2.3194468762521156e-134,0.6338083277833333,10.875685657433333,,gemini,optimized,r,,,3.0925958350028208e-133
by_model_prompt_language,240,0.9781680237504121,2.138411966599543e-164,2.2507361445125,35.744099883620834,,gpt,base,python,,,5.1321887198389035e-163
by_model_prompt_language,180,0.9429241643260593,6.282989878726764e-87,0.9859359065277775,17.173321967444444,,gpt,base,r,,,5.0263919029814114e-86
by_model_prompt_language,240,0.9777461414260662,2.03429763597781e-163,2.1474972550625,33.91825813281666,,gpt,optimized,python,,,4.06859527195562e-162
by_model_prompt_language,240,0.9552283893817599,7.157148398750157e-128,13.497780333608334,236.55393498758752,,gpt,optimized,r,,,7.807798253181988e-127
by_model_prompt_language,210,0.9801356039819497,4.0469379245901815e-148,2.5389222425238094,40.17301316615237,,llama,base,python,,,6.070406886885272e-147
by_model_prompt_language,30,-0.14660734149054505,0.4394798230627862,1.0033231851666666,17.5777503916,,llama,base,r,,,0.5992906678128903
by_model_prompt_language,150,0.9674901106715855,2.9437917417368803e-90,0.53824673756,8.694884733720002,,llama,optimized,python,,,2.7173462231417355e-89
by_model_prompt_language,240,0.9851941873990866,2.751773586894953e-184,2.4682016847875,44.82260892004167,,original,base,python,,,9.613110363340763e-183
by_model_prompt_language,240,0.9372480425007378,6.819920366234993e-111,0.5160044254791667,8.6941875254125,,original,base,r,,,6.819920366234993e-110
by_model_prompt_language,180,0.9435764478327521,2.3257815069711807e-87,0.6179654113222223,9.997419155877777,,starcoder,base,python,,,1.9935270059752976e-86
by_model_prompt_language,30,0.23114571746384868,0.2190839284296478,1.2204219951,21.128462619766665,,starcoder,base,r,,,0.4240334098638345
