model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,elapsed_seconds_cliffs_delta_abs,elapsed_seconds_cliffs_delta_magnitude,elapsed_seconds_cliffs_delta_direction,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,energy_joules_cliffs_delta_abs,energy_joules_cliffs_delta_magnitude,energy_joules_cliffs_delta_direction,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,avg_power_watts_cliffs_delta_abs,avg_power_watts_cliffs_delta_magnitude,avg_power_watts_cliffs_delta_direction,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
gemini,optimized,python,data_visualization,02_distribution_boxplot,original,30,30,0.0,3.0198593591621564e-11,0.48294103043333336,0.8475414639000001,0.4833515265,0.845047822,-43.01859543118297,-42.801872992697916,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,7.968160306766666,13.984664556066669,7.9821299615,13.991418737,-43.022156342605946,-42.94981723053265,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,455.0,0.9469559422255942,16.499524102133332,16.50072567333333,16.5484436325,16.5301748455,-0.007281929436237797,0.11051780861818007,0.011111111111111072,0.011111111111111112,0.011111111111111112,negligible,candidate_higher_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.9697741577009098
gemini,optimized,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,30,30,0.0,3.0198593591621564e-11,2.5762823825999996,3.115271052633334,2.5736506405,2.7244318635,-17.30150156846635,-5.534409761538163,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,42.241659888499996,96.64283546966665,42.219900529,100.956781893,-56.2909555755342,-58.1802235200532,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,0.0,3.0198593591621564e-11,16.396401944366666,32.89970124763333,16.41229474,36.9420801825,-50.16245946748178,-55.57290044599399,-1.0,-1.0,1.0,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,1.6043002845548956e-10
gemini,optimized,python,machine_learning_workflows,02_regression_workflow_feature_importance,original,30,30,691.0,0.0003770395640831686,12.209331725166665,12.182617280799999,12.203199054999999,12.174177088,0.21928329316204206,0.23838955840888193,0.5355555555555556,0.5355555555555556,0.5355555555555556,large,candidate_higher_elapsed_seconds,648.0,0.0035011673538548815,191.2619555165333,189.5356866025333,190.86629997300003,189.1339853995,0.9107883295983634,0.9159192462639236,0.43999999999999995,0.44,0.44,medium,candidate_higher_energy_joules,598.0,0.02920540956844501,15.665388304666669,15.5577626928,15.6231437115,15.531491187,0.6917807784565083,0.5901076940809961,0.3288888888888888,0.3288888888888889,0.3288888888888889,small,candidate_higher_avg_power_watts,0.00041087644803935037,0.004251417501109499,0.045135632969415015
gemini,optimized,python,statistical_modelling_analysis,01_linear_regression_inference,original,30,30,0.0,3.0198593591621564e-11,0.5792211664,0.7242042895333333,0.5791436315,0.7233002425,-20.01964435018167,-19.93039716145263,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,9.421026388033333,11.792974864333333,9.455811430499999,11.7634327765,-20.113232696473556,-19.61690426462906,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,442.0,0.9117089753194283,16.265156033566665,16.2843045934,16.3089703015,16.220004307499998,-0.11758905468457889,0.5484955016865508,-0.01777777777777778,-0.017777777777777778,0.017777777777777778,negligible,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.9450641817335538
gemini,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.7301119454333335,0.7562265260666666,0.730070987,0.7555736799999999,-3.4532748764000614,-3.3752754595686776,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,11.682377397499998,12.291509031666665,11.6799353945,12.2732115325,-4.9557107479428195,-4.833911127735224,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,176.0,5.265008978704173e-05,16.0012299287,16.254142654166667,15.9704804485,16.2333423965,-1.555989330522059,-1.6192718762383398,-0.6088888888888888,-0.6088888888888889,0.6088888888888889,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.0001065537531404416
gemini,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,0.0,3.0198593591621564e-11,0.08121083523333335,0.09235858213333334,0.081264417,0.092040134,-12.070071500130396,-11.707628543869776,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,315.0,0.04675584239277179,1.3247911832,1.3448144300666665,1.313481335,1.3396148184999999,-1.4889226661312471,-1.950820723919887,-0.30000000000000004,-0.3,0.3,small,candidate_lower_energy_joules,880.0,2.1543992766911748e-10,16.313169079866665,14.585644554400002,16.2286975955,14.5957125125,11.844005378188971,11.18811487689612,0.9555555555555555,0.9555555555555556,0.9555555555555556,large,candidate_higher_avg_power_watts,4.0744134210917984e-11,0.05229271846560003,7.961910370380429e-10
gemini,optimized,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,0.0,3.0198593591621564e-11,0.08111034583333332,0.09346561816666667,0.081211518,0.0931990285,-13.219055922041395,-12.862269803595652,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,127.0,1.860848389843697e-06,1.3138240262,1.3671192839333335,1.308459839,1.3700487360000002,-3.898361932252017,-4.495380009605749,-0.7177777777777778,-0.7177777777777777,0.7177777777777777,large,candidate_lower_energy_joules,881.0,1.9567799598061047e-10,16.1989355588,14.6580354875,16.1128839015,14.6625166665,10.512323241501495,9.891666403447005,0.9577777777777778,0.9577777777777777,0.9577777777777777,large,candidate_higher_avg_power_watts,4.0744134210917984e-11,2.4714392677611603e-06,7.920299837310423e-10
gemini,optimized,r,data_visualization,01_scatter_trend_grouped,original,30,30,4.0,4.504322112705283e-11,0.10275344639999999,0.11433397246666668,0.102171407,0.1144237505,-10.128683379774039,-10.70786741953542,-0.9911111111111112,-0.9911111111111112,0.9911111111111112,large,candidate_lower_elapsed_seconds,407.0,0.5297824906260176,1.6900837415,1.6986322096666666,1.6866718029999999,1.692443826,-0.503255979606325,-0.3410466516718669,-0.0955555555555555,-0.09555555555555556,0.09555555555555556,negligible,candidate_lower_energy_joules,898.0,3.689725853980989e-11,16.45199960796667,14.865875171966668,16.484293772999997,14.743759365999999,10.669566491389872,11.805227986925615,0.9955555555555555,0.9955555555555555,0.9955555555555555,large,candidate_higher_avg_power_watts,5.714438501193269e-11,0.5425483337736324,1.7423705421576893e-10
gemini,optimized,r,data_visualization,02_distribution_boxplot,original,30,30,0.0,3.0198593591621564e-11,0.1038473005,0.1179408338,0.10391790000000001,0.11801191350000001,-11.949663950908919,-11.942873462516987,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,41.0,1.546521285833038e-09,1.6757262371000003,1.7711200452333329,1.6762182145,1.7627801745,-5.386072411639667,-4.910536279689708,-0.9088888888888889,-0.9088888888888889,0.9088888888888889,large,candidate_lower_energy_joules,840.0,8.484772900147978e-09,16.135575746966666,15.033689691400003,16.0855833205,14.876527023,7.32944525386203,8.127275241262472,0.8666666666666667,0.8666666666666667,0.8666666666666667,large,candidate_higher_avg_power_watts,4.0744134210917984e-11,2.1909051549301374e-09,2.3264699887502517e-08
gemini,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,30,30,306.0,0.033874280129520255,1.9992332368333332,2.0172275167666665,1.961573042,2.0093385165,-0.8920302635061989,-2.3771740852905827,-0.31999999999999995,-0.32,0.32,small,candidate_lower_elapsed_seconds,407.0,0.5297824906260176,35.44459028533333,35.368709211933336,35.127166962000004,35.4081118635,0.21454295361841677,-0.793447847722152,-0.0955555555555555,-0.09555555555555556,0.09555555555555556,negligible,candidate_lower_energy_joules,602.0,0.02510128272933511,17.742454830666663,17.535067454766665,17.785443338500002,17.5896571475,1.182700759121532,1.1130756521188379,0.33777777777777773,0.3377777777777778,0.3377777777777778,medium,candidate_higher_avg_power_watts,0.0355470840865336,0.5425483337736324,0.03951127837024971
